TABLE_NAME	COLUMN_NAME	DATA_TYPE	COLUMN_KEY	EXTRA
audio_store_details	audio_filename	varchar	PRI	
audio_store_details	audio_format	varchar		
audio_store_details	audio_filesize	bigint		
audio_store_details	audio_epoch	bigint		
audio_store_details	audio_length	int		
audio_store_details	wav_format_details	varchar		
audio_store_details	wav_asterisk_valid	enum		
call_log	uniqueid	varchar	PRI	
call_log	channel	varchar	MUL	
call_log	channel_group	varchar		
call_log	type	varchar		
call_log	server_ip	varchar	MUL	
call_log	extension	varchar		
call_log	number_dialed	varchar		
call_log	caller_code	varchar	MUL	
call_log	start_time	datetime	MUL	
call_log	start_epoch	int		
call_log	end_time	datetime	MUL	
call_log	end_epoch	int		
call_log	length_in_sec	int		
call_log	length_in_min	double		
call_log_archive	uniqueid	varchar	PRI	
call_log_archive	channel	varchar	MUL	
call_log_archive	channel_group	varchar		
call_log_archive	type	varchar		
call_log_archive	server_ip	varchar	MUL	
call_log_archive	extension	varchar		
call_log_archive	number_dialed	varchar		
call_log_archive	caller_code	varchar	MUL	
call_log_archive	start_time	datetime	MUL	
call_log_archive	start_epoch	int		
call_log_archive	end_time	datetime	MUL	
call_log_archive	end_epoch	int		
call_log_archive	length_in_sec	int		
call_log_archive	length_in_min	double		
callcard_accounts	card_id	varchar	PRI	
callcard_accounts	pin	varchar	MUL	
callcard_accounts	status	enum		
callcard_accounts	balance_minutes	smallint		
callcard_accounts	inbound_group_id	varchar		
callcard_accounts_details	card_id	varchar	PRI	
callcard_accounts_details	run	varchar		
callcard_accounts_details	batch	varchar		
callcard_accounts_details	pack	varchar		
callcard_accounts_details	sequence	varchar		
callcard_accounts_details	status	enum		
callcard_accounts_details	balance_minutes	smallint		
callcard_accounts_details	initial_value	varchar		
callcard_accounts_details	initial_minutes	smallint		
callcard_accounts_details	note_purchase_order	varchar		
callcard_accounts_details	note_printer	varchar		
callcard_accounts_details	note_did	varchar		
callcard_accounts_details	inbound_group_id	varchar		
callcard_accounts_details	note_language	varchar		
callcard_accounts_details	note_name	varchar		
callcard_accounts_details	note_comments	varchar		
callcard_accounts_details	create_user	varchar		
callcard_accounts_details	activate_user	varchar		
callcard_accounts_details	used_user	varchar		
callcard_accounts_details	void_user	varchar		
callcard_accounts_details	create_time	datetime		
callcard_accounts_details	activate_time	datetime		
callcard_accounts_details	used_time	datetime		
callcard_accounts_details	void_time	datetime		
callcard_log	uniqueid	varchar	PRI	
callcard_log	card_id	varchar	MUL	
callcard_log	balance_minutes_start	smallint		
callcard_log	call_time	datetime	MUL	
callcard_log	agent_time	datetime		
callcard_log	dispo_time	datetime		
callcard_log	agent	varchar		
callcard_log	agent_dispo	varchar		
callcard_log	agent_talk_sec	mediumint		
callcard_log	agent_talk_min	mediumint		
callcard_log	phone_number	varchar		
callcard_log	inbound_did	varchar		
cid_channels_recent	caller_id_name	varchar		
cid_channels_recent	connected_line_name	varchar		
cid_channels_recent	server_ip	varchar		
cid_channels_recent	call_date	datetime	MUL	
cid_channels_recent	channel	varchar		
cid_channels_recent	dest_channel	varchar		
cid_channels_recent	linkedid	varchar		
cid_channels_recent	dest_uniqueid	varchar		
cid_channels_recent	uniqueid	varchar		
cid_channels_recent_015204214084	caller_id_name	varchar		
cid_channels_recent_015204214084	connected_line_name	varchar		
cid_channels_recent_015204214084	call_date	datetime	MUL	
cid_channels_recent_015204214084	channel	varchar		
cid_channels_recent_015204214084	dest_channel	varchar		
cid_channels_recent_015204214084	linkedid	varchar		
cid_channels_recent_015204214084	dest_uniqueid	varchar		
cid_channels_recent_015204214084	uniqueid	varchar		
cid_channels_recent_015204214096	caller_id_name	varchar		
cid_channels_recent_015204214096	connected_line_name	varchar		
cid_channels_recent_015204214096	call_date	datetime	MUL	
cid_channels_recent_015204214096	channel	varchar		
cid_channels_recent_015204214096	dest_channel	varchar		
cid_channels_recent_015204214096	linkedid	varchar		
cid_channels_recent_015204214096	dest_uniqueid	varchar		
cid_channels_recent_015204214096	uniqueid	varchar		
cid_channels_recent_040160012069	caller_id_name	varchar		
cid_channels_recent_040160012069	connected_line_name	varchar		
cid_channels_recent_040160012069	call_date	datetime	MUL	
cid_channels_recent_040160012069	channel	varchar		
cid_channels_recent_040160012069	dest_channel	varchar		
cid_channels_recent_040160012069	linkedid	varchar		
cid_channels_recent_040160012069	dest_uniqueid	varchar		
cid_channels_recent_040160012069	uniqueid	varchar		
cid_channels_recent_040160013085	caller_id_name	varchar		
cid_channels_recent_040160013085	connected_line_name	varchar		
cid_channels_recent_040160013085	call_date	datetime	MUL	
cid_channels_recent_040160013085	channel	varchar		
cid_channels_recent_040160013085	dest_channel	varchar		
cid_channels_recent_040160013085	linkedid	varchar		
cid_channels_recent_040160013085	dest_uniqueid	varchar		
cid_channels_recent_040160013085	uniqueid	varchar		
cid_channels_recent_051081046104	caller_id_name	varchar		
cid_channels_recent_051081046104	connected_line_name	varchar		
cid_channels_recent_051081046104	call_date	datetime	MUL	
cid_channels_recent_051081046104	channel	varchar		
cid_channels_recent_051081046104	dest_channel	varchar		
cid_channels_recent_051081046104	linkedid	varchar		
cid_channels_recent_051081046104	dest_uniqueid	varchar		
cid_channels_recent_051081046104	uniqueid	varchar		
cid_channels_recent_051081109093	caller_id_name	varchar		
cid_channels_recent_051081109093	connected_line_name	varchar		
cid_channels_recent_051081109093	call_date	datetime	MUL	
cid_channels_recent_051081109093	channel	varchar		
cid_channels_recent_051081109093	dest_channel	varchar		
cid_channels_recent_051081109093	linkedid	varchar		
cid_channels_recent_051081109093	dest_uniqueid	varchar		
cid_channels_recent_051081109093	uniqueid	varchar		
cid_channels_recent_051081221201	caller_id_name	varchar		
cid_channels_recent_051081221201	connected_line_name	varchar		
cid_channels_recent_051081221201	call_date	datetime	MUL	
cid_channels_recent_051081221201	channel	varchar		
cid_channels_recent_051081221201	dest_channel	varchar		
cid_channels_recent_051081221201	linkedid	varchar		
cid_channels_recent_051081221201	dest_uniqueid	varchar		
cid_channels_recent_051081221201	uniqueid	varchar		
cid_channels_recent_085239235109	caller_id_name	varchar		
cid_channels_recent_085239235109	connected_line_name	varchar		
cid_channels_recent_085239235109	call_date	datetime	MUL	
cid_channels_recent_085239235109	channel	varchar		
cid_channels_recent_085239235109	dest_channel	varchar		
cid_channels_recent_085239235109	linkedid	varchar		
cid_channels_recent_085239235109	dest_uniqueid	varchar		
cid_channels_recent_085239235109	uniqueid	varchar		
cid_channels_recent_135148171020	caller_id_name	varchar		
cid_channels_recent_135148171020	connected_line_name	varchar		
cid_channels_recent_135148171020	call_date	datetime	MUL	
cid_channels_recent_135148171020	channel	varchar		
cid_channels_recent_135148171020	dest_channel	varchar		
cid_channels_recent_135148171020	linkedid	varchar		
cid_channels_recent_135148171020	dest_uniqueid	varchar		
cid_channels_recent_135148171020	uniqueid	varchar		
cid_channels_recent_135148171091	caller_id_name	varchar		
cid_channels_recent_135148171091	connected_line_name	varchar		
cid_channels_recent_135148171091	call_date	datetime	MUL	
cid_channels_recent_135148171091	channel	varchar		
cid_channels_recent_135148171091	dest_channel	varchar		
cid_channels_recent_135148171091	linkedid	varchar		
cid_channels_recent_135148171091	dest_uniqueid	varchar		
cid_channels_recent_135148171091	uniqueid	varchar		
cid_channels_recent_147135065086	caller_id_name	varchar		
cid_channels_recent_147135065086	connected_line_name	varchar		
cid_channels_recent_147135065086	call_date	datetime	MUL	
cid_channels_recent_147135065086	channel	varchar		
cid_channels_recent_147135065086	dest_channel	varchar		
cid_channels_recent_147135065086	linkedid	varchar		
cid_channels_recent_147135065086	dest_uniqueid	varchar		
cid_channels_recent_147135065086	uniqueid	varchar		
cid_channels_recent_147135070235	caller_id_name	varchar		
cid_channels_recent_147135070235	connected_line_name	varchar		
cid_channels_recent_147135070235	call_date	datetime	MUL	
cid_channels_recent_147135070235	channel	varchar		
cid_channels_recent_147135070235	dest_channel	varchar		
cid_channels_recent_147135070235	linkedid	varchar		
cid_channels_recent_147135070235	dest_uniqueid	varchar		
cid_channels_recent_147135070235	uniqueid	varchar		
cid_channels_recent_148113193138	caller_id_name	varchar		
cid_channels_recent_148113193138	connected_line_name	varchar		
